	m_hilicp_0000	m_hilicp_0003	m_hilicp_0004	m_hilicp_0005	m_hilicp_0006	m_hilicp_0010	m_hilicp_0011	m_hilicp_0013	m_hilicp_0017	m_hilicp_0021	m_hilicp_0022	m_hilicp_0023	m_hilicp_0024	m_hilicp_0026	m_hilicp_0029	m_hilicp_0030	m_hilicp_0033	m_hilicp_0035	m_hilicp_0036	m_hilicp_0042	m_hilicp_0043	m_hilicp_0046	m_hilicp_0047	m_hilicp_0048	m_hilicp_0049	m_hilicp_0051	m_hilicp_0055	m_hilicp_0056	m_hilicp_0057	m_hilicp_0058	m_hilicp_0060	m_hilicp_0061	m_hilicp_0064	m_hilicp_0065	m_hilicp_0069	m_hilicp_0071	m_hilicp_0072	m_hilicp_0074	m_hilicp_0075	m_hilicp_0076	m_hilicp_0077	m_hilicp_0078	m_hilicp_0079	m_hilicp_0080	m_hilicp_0082	m_hilicp_0084	m_hilicp_0085	m_hilicp_0087	m_hilicp_0088	m_hilicp_0090	m_hilicp_0091	m_hilicp_0092	m_hilicp_0093	m_hilicp_0095	m_hilicp_0096	m_hilicp_0097	m_hilicp_0098	m_hilicp_0099	m_hilicp_0100	m_hilicp_0101	m_hilicp_0102	m_hilicp_0104	m_hilicp_0107	m_hilicp_0113	m_hilicp_0116	m_hilicp_0120	m_hilicp_0121	m_hilicp_0123	m_hilicp_0124	m_hilicp_0125	m_hilicp_0127	m_hilicp_0129	m_hilicp_0131	m_hilicp_0132	m_hilicp_0134	m_hilicp_0137	m_hilicp_0138	m_hilicp_0139	m_hilicp_0141	m_hilicp_0142	m_hilicp_0145	m_hilicp_0146	m_hilicp_0149	m_hilicp_0152	m_hilicp_0154	m_hilicp_0155	m_hilicp_0158	m_hilicp_0160	m_hilicp_0161	m_hilicp_0164	m_hilicp_0165	m_hilicp_0168	m_hilicp_0169	m_hilicp_0176	m_hilicp_0180	m_hilicp_0184	m_hilicp_0185	m_hilicp_0187	m_hilicp_0188	m_hilicp_0189	m_hilicp_0190	m_hilicp_0192	m_hilicp_0193	m_hilicp_0194	m_hilicp_0195	m_hilicp_0197	m_hilicp_0200	m_hilicp_0204	m_hilicp_0205	m_hilicp_0206	m_hilicp_0207	m_hilicp_0210	m_hilicp_0211	m_hilicp_0212	m_hilicp_0215	m_hilicp_0223	m_hilicp_0225	m_hilicp_0227	m_hilicp_0229	m_hilicp_0230	m_hilicp_0231	m_hilicp_0235	m_hilicp_0236	m_hilicp_0237	m_hilicp_0238	m_hilicp_0241	m_hilicp_0242	m_hilicp_0244	m_hilicp_0247	m_hilicp_0253	m_hilicp_0255	m_hilicp_0256	m_hilicp_0259	m_hilicp_0264	m_hilicp_0265	m_hilicp_0267	m_hilicp_0270	m_hilicp_0271	m_hilicp_0272	m_hilicp_0273	m_hilicp_0278	m_hilicp_0279	m_hilicp_0291	m_hilicp_0292	m_hilicp_0293	m_hilicp_0295	m_hilicp_0305	m_hilicp_0306	m_hilicp_0310	m_hilicp_0312	m_hilicp_0315	m_hilicp_0316	m_hilicp_0318	m_hilicp_0321	m_hilicp_0322	m_hilicp_0326	m_hilicp_0332	m_hilicp_0338	m_hilicp_0347	m_hilicp_0353	m_hilicp_0356	m_hilicp_0357	m_hilicp_0358	m_hilicp_0359	m_hilicp_0360	m_hilicp_0361	m_hilicp_0362	m_hilicp_0363	m_hilicp_0364	m_hilicp_0365	m_hilicp_0366	m_hilicp_0367
s01076	824349.0		33764996.0	908171.0		3588597.0	16641409.0	1281915.0			869988.0		26426.0	363629.0	138034.0	66383.0	623993.0	125044.0		1213124.0	1439901.0				84421.0	17247236.0	26714120.0		4360776.0		8895					52326.0	52896.0	4102753.0	571761.0	216085.0	39735.0	9252190.0			508431.0				2237231.0		35617.0				2281635	10462.0	11036308		221732.0	44813.0		2786917.0	21706.0	3169.0			4301286.0		76047.0		0.0	7255.0	25551.0			120410.0	16964.0	180064.0		800.0	30998504			82184.0		6542.0	11683641	583.0	1749964.0	6499.0	4269.0			922010.0	321.0		193.0		94461.0		258639.0	18715.0	71793.0	4620.0					50011.0			22146	4921106			70804.0		23498.0	308472.0		65500.0					9364.0		1022058.0			1413.0						26764.0	58878.0	13120.0	12999.0	5708.0	90865.0		197.0	6897.0		26407.0	1558.0	624.0		286.0		697.0		373.0				21757.0	185.0				144793.0	196411.0	383122.0	925830	592089		59291.0	511671.0	
s01068	712727.0		28691064.0	229626.0		494777.0	14270447.0	884917.0			1003076.0		21560.0	74592.0	1190.0	30261.0	491762.0	5844.0		27196826.0	1293552.0				59188.0	27668262.0	20005286.0		3476040.0		3085					37258.0	16143.0	1966723.0	1168535.0	129031.0	123285.0	447449.0			392010.0				2935293.0		27334.0				176660	13666.0	8334394		102245.0	70880.0		2131835.0	2124.0	2058.0			3237177.0		53628.0		28835.0	6682.0	25520.0			232687.0	13972.0	161412.0		918.0	26324260			58469.0		2717.0	13574800	2289.0	191628.0	12515.0	1951.0			427011.0	7995.0		181.0		41348.0		190831.0	301.0	42959.0	4200.0					21578.0			496	4408396			67566.0		31757.0	158906.0		757378.0					9805.0		165833.0			544.0						2435.0	5911.0	8566.0	13309.0	8916.0	164264.0		6899.0	203285.0		223202.0	2503.0	5475.0		759.0		12875.0		187.0				34819.0	0.0				146965.0	218069.0	409874.0	918712	615810		52929.0	549909.0	
s01120	827556.0		33592172.0	448431.0		5364784.0	15090871.0	1227528.0			957491.0		30717.0	394049.0	148886.0	59634.0	668246.0	19637.0		1173298.0	1515247.0				84846.0	18908552.0	22971262.0		4782767.0		6837					53191.0	95705.0	3115072.0	352537.0	217464.0	69070.0	9375173.0			465662.0				2042068.0		35192.0				2413318	17892.0	11489436		45356.0	47373.0		3388689.0	40062.0	1482.0			4978582.0		65587.0		16802.0	10715.0	24303.0			132113.0	12295.0	206230.0		0.0	33446366			121847.0		6286.0	13915050	1421.0	1101462.0	3379.0	3781.0			906676.0	0.0		343.0		91586.0		249969.0	17191.0	82953.0	5686.0					101363.0			11443	5190561			82957.0		30810.0	321153.0		138223.0					3662.0		716964.0			1212.0						6364.0	55831.0	3067.0	8252.0	3263.0	92603.0		999.0	4899.0		27931.0	875.0	7402.0		162.0		3254.0		197.0				24614.0	216.0				153334.0	214395.0	398065.0	1057720	627013		59741.0	557692.0	
s01096	641754.0		28542058.0	235059.0		162059.0	13573992.0	856730.0			1149268.0		18952.0	209817.0	1232.0	44858.0	524174.0	1926.0		40991856.0	1429885.0				57139.0	24566394.0	22050998.0		3656136.0		2101					41118.0	12610.0	1845619.0	1202567.0	234998.0	81493.0	1275363.0			345122.0				2805749.0		87174.0				2164708	2838.0	8761759		97395.0	61452.0		2485668.0	3292.0	1620.0			3142527.0		45614.0		26657.0	8621.0	24118.0			247657.0	13515.0	169163.0		502.0	28056608			51235.0		1796.0	13789097	1638.0	234413.0	3550.0	10237.0			738201.0	327.0		436.0		44631.0		182278.0	728.0	56786.0	1050.0					287.0			3017	4744996			50830.0		8902.0	291791.0		431382.0					2882.0		226313.0			379.0						347.0	662.0	128147.0	11203.0	14465.0	166768.0		5982.0	201478.0		222859.0	21491.0	4231.0		3802.0		36753.0		743.0				25872.0	222.0				144296.0	214449.0	435300.0	1039209	655679		59195.0	554984.0	
s01083	669455.0		29864442.0	211265.0		184397.0	13460563.0	921142.0			1194276.0		22355.0	218224.0	461.0	25671.0	528533.0	5403.0		37327.0	1353932.0				50838.0	28746398.0	23641652.0		3679959.0		2153					41193.0	14936.0	1867953.0	1133603.0	228365.0	95495.0	122298.0			353326.0				2964731.0		22437.0				1792902	12758.0	8290154		138209.0	68533.0		2681294.0	17034.0	1544.0			3280086.0		66657.0		37945.0	13875.0	31414.0			261259.0	15681.0	122618.0		0.0	29415102			60688.0		4662.0	13657489	2478.0	241060.0	8236.0	13302.0			592541.0	0.0		256.0		42809.0		200697.0	2470.0	55973.0	3175.0					18875.0			31067	2630596			5261.0		31965.0	265797.0		463794.0					3950.0		71213.0			2373.0						289.0	4774.0	130987.0	12326.0	12336.0	108473.0		6731.0	154777.0		200021.0	10317.0	274.0		2683.0		29550.0		0.0				30122.0	1007.0				144545.0	205117.0	506793.0	978702	630553		38443.0	532816.0	
s01330			6066258.0	78365.0			6551268.0	522567.0			71062.0	10412.0	182096.0	1318479.0	1094.0	2452302.0		181.0		24268718.0	402217.0				43310.0	9501400.0	15615670.0		1514054.0		563895					22009.0	7312.0	1252034.0	13614.0	8114.0	13292612.0	8814.0			324778.0			701313.0			17094.0			5088.0	83699		4123189	23777.0	2127408.0	31401.0		1632530.0					1746402.0	14894.0				1507.0		28707.0				92561.0			12673487						7809726		85333.0	6498.0				189509.0		18126.0	322.0		19474.0		112046.0	105.0	27046.0						60492.0			16632	2279252			35622.0	19854.0	12674.0	67195.0		194989.0			6683.0	38470.0	13334.0		286267.0	35008.0				11835.0	8448.0				4355.0	77181.0		14720.0	71345.0	10097.0	0.0	20323.0		39747.0	132.0			0.0		72393.0	31960.0					3553.0					100313.0	68033.0	181358.0	447033	294321			232827.0	
s01295			6774189.0	81033.0			7109676.0	486931.0			25092.0	9104.0	217773.0	1324075.0	856.0	2358306.0		128.0		24908804.0	469940.0				39706.0	11790676.0	13863113.0		1320824.0		510329					15859.0	10229.0	1311957.0	14130.0	8259.0	11510755.0	19026.0			316177.0			813705.0			17645.0			3414.0	87388		4047962	21729.0	1996004.0	56213.0		1624656.0					1867722.0	15015.0				2038.0		26694.0				88776.0			14878914						7769991		84996.0	4543.0				216703.0		1447.0	292.0		17777.0		109587.0	247.0	23606.0						62292.0			11890	2284101			36583.0	19582.0	12444.0	63691.0		222281.0			8786.0	20006.0	7198.0		265171.0	27959.0				8576.0	9129.0				6747.0	75623.0		15629.0	77023.0	14674.0	1259.0	52124.0		62937.0	3976.0			433.0		79443.0	26335.0					3274.0					98516.0	45872.0	201718.0	485970	299825			267808.0	
s01214			8584398.0	145207.0			9381169.0	749265.0			172050.0	9249.0	216154.0	1396107.0	1015.0	2508796.0		108.0		9343851.0	330474.0				51946.0	9426602.0	14653737.0		2021813.0		497762					18470.0	22582.0	1405815.0	10340.0	31932.0	8996706.0	23589.0			345183.0			711960.0			17223.0			8596.0	123801		4358708	24286.0	1905050.0	76274.0		1563244.0					2047926.0	9079.0				1755.0		25312.0				85707.0			17527818						7888941		62778.0	9308.0				314222.0		6897.0	587.0		28437.0		111741.0	800.0	25284.0						101402.0			8974	2591986			34966.0	29392.0	11919.0	109410.0		330659.0			25319.0	21968.0	7010.0		505273.0	39279.0				938990.0	10508.0				16505.0	76421.0		621.0	62963.0	14737.0	5980.0	4844.0		21772.0	7038.0			2746.0		70586.0	145.0					7797.0					70425.0	32831.0	182373.0	412177	295687			230958.0	
s01329			6216082.0	86929.0			7653700.0	619185.0			59236.0	21204.0	189674.0	1330711.0	1149.0	2578454.0		113.0		16043180.0	414825.0				44805.0	8475568.0	16252269.0		1237737.0		551891					20604.0	7788.0	1355033.0	23429.0	7415.0	9063843.0	24775.0			325819.0			564857.0			18217.0			5809.0	60091		4652618	33151.0	2088633.0	28119.0		1904426.0					2218508.0	13620.0				881.0		33229.0				105223.0			14564488						8203926		88931.0	6385.0				278733.0		1978.0	870.0		17954.0		122302.0	542.0	26147.0						58979.0			23860	2469968			34470.0	21317.0	14046.0	64796.0		200598.0			6800.0	136522.0	11768.0		307564.0	5648.0				13667.0	4254.0				7987.0	81072.0		119.0	46482.0	14291.0	0.0	15091.0		23466.0	422.0			0.0		57721.0	30342.0					6123.0					98369.0	67466.0	171891.0	454622	288932			230461.0	
s01233			7024232.0	80552.0			6985386.0	624639.0			49602.0	11792.0	234707.0	1230945.0	599.0	2384626.0		284.0		26875306.0	417142.0				41270.0	12492457.0	18760122.0		1271912.0		489979					20655.0	13477.0	1262081.0	14563.0	16671.0	10531596.0	16820.0			324760.0			876344.0			17470.0			4424.0	144317		4020073	13583.0	1889324.0	23781.0		1526074.0					1756896.0	14434.0				9195.0		20046.0				73656.0			16106658						7814780		79252.0	6112.0				214339.0		3547.0	443.0		17222.0		111275.0	2178.0	24876.0						57250.0			24256	2416450			36807.0	22283.0	12830.0	82200.0		204174.0			5002.0	17846.0	14507.0		398229.0	25334.0				16512.0	10519.0				4761.0	72586.0		3311.0	57203.0	15666.0	2140.0	39535.0		47586.0	4467.0			1050.0		81488.0	22258.0					6280.0					86583.0	49996.0	195617.0	471670	298368			261331.0	
s01220			8738282.0	147568.0			9258873.0	871740.0			130065.0	9701.0	217144.0	1234901.0	1276.0	2412506.0		0.0		10826327.0	359385.0				43878.0	10008582.0	21230700.0		2093403.0		490276					17576.0	9464.0	1372009.0	12237.0	16028.0	11412151.0	14281.0			352853.0			647429.0			16843.0			6905.0	74541		4851234	20451.0	1908058.0	85669.0		1986837.0					2112751.0	13952.0				1655.0		26179.0				100728.0			18538476						8459024		78757.0	37021.0				315497.0		2806.0	234.0		23815.0		134611.0	727.0	25516.0						65102.0			7033	2626982			36301.0	28177.0	12641.0	76976.0		222651.0			10102.0	21782.0	6611.0		333121.0	149742.0				151053.0	12828.0				11775.0	74876.0		216.0	65067.0	15025.0	12734.0	39444.0		45632.0	1670.0			839.0		72718.0	2558.0					4328.0					94855.0	49150.0	184363.0	439511	302448			240288.0	
s01276			7920650.0	87087.0			7296486.0	709212.0			221931.0	10367.0	214459.0	1731104.0	696.0	2771757.0		113.0		25593606.0	470573.0				43774.0	10390844.0	16563674.0		1979679.0		518948					19520.0	6713.0	1446264.0	16933.0	14189.0	15306340.0	6945.0			377169.0			701619.0			18631.0			5045.0	148797		4903384	42071.0	2497410.0	18778.0		1883076.0					2065002.0	12851.0				1595.0		28550.0				110517.0			16365383						8541484		93423.0	5289.0				442185.0		2544.0	917.0		17456.0		120448.0	3139.0	31781.0						64036.0			15716	2357825			34371.0	22824.0	13754.0	58010.0		178103.0			3367.0	27257.0	42047.0		262248.0	6013.0				10543.0	5888.0				8593.0	88237.0		3192.0	74524.0	14158.0	104.0	1279.0		16991.0	544.0			0.0		5718.0	38396.0					4100.0					100096.0	46136.0	188669.0	439217	301920			264519.0	
s01206			10236436.0	75329.0			9452829.0	1122531.0			260223.0	13286.0	229727.0	1595423.0	308.0	2980244.0		0.0		8775968.0	260368.0				51736.0	8899701.0	19494134.0		2070571.0		545352					16356.0	17143.0	1538873.0	391761.0	69401.0	7907197.0	24587.0			391967.0			636627.0			19638.0			5808.0	211315		5279036	17832.0	2162226.0	14367.0		2067440.0					2574829.0	13478.0				1806.0		23873.0				70938.0			19775066						9078243		82456.0	4595.0				474846.0		100890.0	236.0		17662.0		122931.0	333.0	28022.0						85760.0			17881	2867346			35566.0	29787.0	13154.0	94478.0		349682.0			16901.0	14985.0	11206.0		488204.0	139513.0				2325672.0	12696.0				9467.0	79586.0		722.0	83355.0	24165.0	6477.0	21353.0		78391.0	12104.0			5157.0		50689.0	110.0					7889.0					82785.0	70698.0	196275.0	414407	288060			235393.0	
s01188			43199.0	11883.0			29074.0	9305.0			3742.0	2295.0	2342.0	8528.0	152.0	15782.0		2543.0		7498.0	7168.0				785.0	742.0	255788.0		8486.0		987					2349.0	911.0	1619.0	402.0	109.0	1399.0	120.0			562.0			178.0			1053.0			117.0	286		23694	148.0	4867.0	608.0		2403.0					35731.0	131.0				935.0		122.0				869.0			0						86700		556.0	7142.0				915.0		102.0	159.0		4012.0		1148.0	0.0	588.0						343.0			3203	3711			238.0	495.0	0.0	624.0		105.0			250.0	459.0	130.0		248.0	140.0				0.0	258.0				2004.0	0.0		2339.0	0.0	0.0	0.0	0.0		0.0	0.0			0.0		0.0	0.0					0.0					699.0	170.0	10668.0	0	5056			1531.0	
s01185			8793.0	5511.0			8728.0	4203.0			3294.0	7134.0	2329.0	1075.0	17582.0	3373.0		1023.0		4466.0	1049.0				1042.0	622.0	258851.0		706.0		444					1877.0	470.0	845.0	0.0	232.0	203.0	0.0			1577.0			0.0			2077.0			382.0	236		7090	340.0	1470.0	0.0		955.0					2965.0	103.0				908.0		119.0				256.0			0						11138		915.0	8397.0				102.0		0.0	187.0		2017.0		410.0	0.0	1016.0						1980.0			4542	3548			621.0	980.0	113.0	108.0		0.0			140.0	711.0	0.0		433.0	129.0				0.0	140.0				1075.0	122.0		9909.0	0.0	0.0	0.0	0.0		0.0	0.0			0.0		0.0	0.0					0.0					340.0	0.0	21512.0	0	3198			720.0	
s01315			8791496.0	227607.0			9694049.0	831512.0			101133.0	18552.0	212911.0	1908709.0	784.0	3169374.0		117.0		9272304.0	383765.0				54876.0	9616810.0	14689357.0		2875913.0		549395					18831.0	14444.0	1546480.0	14862.0	14531.0	11524034.0	20416.0			378273.0			664537.0			18567.0			4402.0	73615		5371100	31596.0	2365988.0	13931.0		2113544.0					2383875.0	12010.0				2158.0		28460.0				127922.0			18740904						8631574		91424.0	5504.0				484895.0		6165.0	865.0		18809.0		123456.0	692.0	30654.0						74393.0			9320	2830436			34892.0	24820.0	14434.0	63120.0		261534.0			10447.0	16761.0	12082.0		356719.0	107995.0				100401.0	11596.0				10133.0	84005.0		1101.0	123174.0	24876.0	0.0	24403.0		52495.0	110.0			104.0		52536.0	140.0					6703.0					100490.0	72638.0	184153.0	466159	272726			238541.0	
s01207			7334574.0	111747.0			6768587.0	768818.0			85305.0	24910.0	210666.0	1171959.0	625.0	3253552.0		526.0		30529480.0	390266.0				44720.0	10692131.0	20565914.0		1327789.0		493549					20077.0	22853.0	1409966.0	242838.0	13765.0	27607.0	393186.0			345710.0			770119.0			19355.0			7530.0	85092		4919219	7706.0	1757932.0	15460.0		1731464.0					2074261.0	15094.0				1997.0		26313.0				93014.0			13403896						8747914		85396.0	6234.0				282115.0		5070.0	580.0		19865.0		120058.0	0.0	32561.0						64403.0			9182	2626031			40713.0	26654.0	11816.0	67527.0		223548.0			8969.0	19018.0	11782.0		285965.0	292.0				13505.0	4546.0				11844.0	77656.0		491.0	28856.0	10607.0	0.0	5546.0		12519.0	264.0			0.0		88182.0	12255.0					5507.0					90585.0	49679.0	220065.0	451170	314758			277086.0	
s01208			7253912.0	110960.0			6934694.0	813974.0			113934.0	11802.0	221310.0	1176536.0	1358.0	3149513.0		119.0		30994042.0	398706.0				44371.0	10918282.0	18980502.0		1310120.0		522035					19449.0	19732.0	1416115.0	263814.0	14298.0	36851.0	409642.0			335016.0			812022.0			17212.0			6152.0	87174		5043570	12366.0	1748548.0	15079.0		1697314.0					2149551.0	14265.0				2129.0		20442.0				91737.0			13364504						8842905		88847.0	5290.0				300928.0		2412.0	171.0		17982.0		121643.0	226.0	30556.0						63959.0			9572	2601866			40747.0	27253.0	12272.0	70602.0		234863.0			9582.0	18462.0	10797.0		278997.0	167.0				17835.0	8683.0				11104.0	80715.0		1451.0	35538.0	11822.0	0.0	7444.0		16393.0	783.0			182.0		89021.0	11846.0					4479.0					83761.0	31800.0	204915.0	443067	316578			256626.0	
s01255			6851862.0	80198.0			7413612.0	431366.0			51866.0	11622.0	218941.0	1168752.0	798.0	2275217.0		341.0		29156040.0	419285.0				40324.0	12254895.0	15553017.0		1504715.0		523449					17970.0	4764.0	1299892.0	12366.0	5151.0	13645295.0	19913.0			334597.0			711414.0			17011.0			6534.0	85003		4218896	20589.0	1995182.0	30098.0		1466604.0					1775244.0	14392.0				1937.0		25473.0				90076.0			14079554						7835276		83124.0	5577.0				234048.0		1577.0	593.0		16246.0		108247.0	352.0	25232.0						57772.0			7371	2331868			33170.0	23089.0	12465.0	63992.0		176798.0			5703.0	46392.0	22795.0		223350.0	26052.0				7119.0	7958.0				5822.0	77584.0		6987.0	72017.0	16062.0	6010.0	43180.0		56103.0	1650.0			776.0		36226.0	38622.0					4689.0					91442.0	74184.0	204049.0	465086	307277			273724.0	
s01325			6220452.0	77892.0			6936440.0	401892.0			183081.0	8953.0	195322.0	1309868.0	1134.0	2328279.0		141.0		21981848.0	452814.0				37686.0	9804388.0	14392556.0		1275274.0		531287					20735.0	9904.0	1231688.0	13356.0	9097.0	12358870.0	22373.0			318462.0			618192.0			16504.0			4623.0	37234		4004035	27914.0	1907827.0	30353.0		1595381.0					1868809.0	13404.0				1950.0		23831.0				84735.0			13408014						7508680		83014.0	5658.0				286449.0		489.0	209.0		18565.0		107701.0	746.0	23889.0						56540.0			8601	2163516			32846.0	21134.0	12815.0	65832.0		181820.0			5883.0	33806.0	22088.0		243195.0	25320.0				12021.0	9169.0				7218.0	76414.0		16581.0	86203.0	22364.0	1144.0	37566.0		56196.0	1242.0			114.0		31955.0	28645.0					5881.0					89552.0	43927.0	170041.0	455986	286004			228194.0	
s01239			7155191.0	81476.0			8245964.0	472327.0			40765.0	10412.0	214962.0	1279265.0	676.0	2507769.0		456.0		19949984.0	399537.0				47948.0	10217020.0	16462196.0		1236555.0		482801					20328.0	11746.0	1404703.0	24909.0	7985.0	12920710.0	21698.0			354468.0			621771.0			19518.0			3800.0	57536		4834984	32610.0	2003223.0	27781.0		1725776.0					2183322.0	16058.0				1207.0		31358.0				102951.0			16510980						8413454		88842.0	5571.0				300136.0		1432.0	295.0		22484.0		122810.0	2374.0	26399.0						64320.0			50797	2693506			36877.0	25323.0	12580.0	68949.0		213386.0			11843.0	95800.0	11495.0		321536.0	18728.0				66239.0	5504.0				8472.0	79840.0		2598.0	55177.0	17204.0	0.0	18962.0		27389.0	143.0			0.0		69240.0	34282.0					1833.0					80977.0	70578.0	185737.0	480813	293769			251697.0	
s01280			6976160.0	77502.0			7031000.0	389030.0			40332.0	9840.0	216046.0	1286445.0	1065.0	2322200.0		123.0		22624224.0	405842.0				39841.0	10521503.0	13777505.0		1295562.0		531242					17411.0	5219.0	1285686.0	12002.0	9579.0	10403066.0	20360.0			307134.0			748072.0			14054.0			6239.0	44303		4017291	30241.0	1989984.0	29293.0		1515033.0					1730046.0	13476.0				1334.0		20859.0				83732.0			15094162						7484042		83130.0	5892.0				212645.0		2855.0	990.0		16311.0		108980.0	1170.0	26107.0						58148.0			9041	2297181			35943.0	18470.0	12727.0	72417.0		197064.0			3535.0	36794.0	28635.0		285600.0	16234.0				9713.0	12995.0				6942.0	77946.0		18461.0	54887.0	13816.0	406.0	40857.0		50796.0	2165.0			362.0		24193.0	19646.0					1666.0					92302.0	69718.0	189631.0	451968	309783			266865.0	
s01311			7344148.0	88660.0			8410380.0	159836.0			230663.0	11766.0	214123.0	1508240.0	1107.0	2745575.0		110.0		15680604.0	483807.0				47970.0	9401891.0	13450026.0		1761979.0		513047					18382.0	5612.0	1419216.0	366247.0	8708.0	13050179.0	37137.0			331006.0			761853.0			17921.0			3685.0	197939		4787712	24384.0	1893514.0	13353.0		1834980.0					2025456.0	16786.0				1750.0		28948.0				115271.0			15618291						8303992		86212.0	5675.0				288751.0		843.0	420.0		15327.0		113504.0	233.0	29467.0						65404.0			8598	2502151			38565.0	26631.0	13978.0	73482.0		225764.0			10615.0	64555.0	9146.0		305309.0	17737.0				5200.0	9412.0				7073.0	77068.0		771.0	110028.0	29859.0	116.0	4892.0		36282.0	183.0			569.0		58454.0	5624.0					16877.0					101042.0	44251.0	188374.0	432020	288108			256114.0	
s01244			7039304.0	77931.0			7717608.0	138123.0			32603.0	10506.0	205351.0	1240919.0	464.0	2379479.0		197.0		20886556.0	289795.0				41936.0	9973330.0	15537028.0		957191.0		524943					17805.0	23730.0	1353006.0	20581.0	9874.0	13704429.0	19739.0			334745.0			726468.0			16857.0			6469.0	92628		4109876	28262.0	1869853.0	25844.0		1483944.0					1697263.0	14026.0				1362.0		24997.0				86374.0			15564726						7623246		82798.0	6089.0				254694.0		35963.0	724.0		21121.0		111238.0	504.0	27900.0						58552.0			45911	2394527			32690.0	23952.0	12271.0	73567.0		198517.0			5132.0	39940.0	16507.0		214596.0	3357.0				44176.0	5494.0				8394.0	83688.0		800.0	46316.0	11397.0	0.0	8768.0		21904.0	135.0			0.0		58815.0	34568.0					7427.0					83745.0	37492.0	190661.0	447508	297022			260461.0	
s01263			8574921.0	73253.0			8183920.0	845318.0			284656.0	12087.0	206514.0	1114259.0	1018.0	2228183.0		369.0		10307601.0	326207.0				42099.0	9194908.0	20202576.0		1602619.0		507245					20055.0	8717.0	1229534.0	358313.0	46632.0	6806174.0	28609.0			312352.0			677879.0			14784.0			5108.0	258928		4139700	20408.0	1588301.0	18980.0		1743690.0					1809787.0	13642.0				1435.0		18143.0				65428.0			16118100						7912369		71315.0	7820.0				230539.0		21762.0	529.0		24255.0		107099.0	1623.0	22253.0						67654.0			14397	2386125			39226.0	20909.0	11458.0	132966.0		234063.0			6364.0	23055.0	16101.0		328606.0	63677.0				1978395.0	11549.0				11265.0	65712.0		1189.0	65898.0	23697.0	1778.0	34955.0		62655.0	2459.0			1561.0		43526.0	121.0					5202.0					99528.0	76947.0	188682.0	469052	288719			253172.0	
s01310			7711686.0	86180.0			8502060.0	155622.0			224907.0	9476.0	216152.0	1496560.0	681.0	2731761.0		109.0		15474912.0	477681.0				49937.0	9545622.0	13970930.0		1778986.0		523404					16751.0	5507.0	1429029.0	363727.0	14739.0	13009568.0	38690.0			331623.0			746719.0			18083.0			3447.0	201013		4730874	22232.0	1914442.0	14057.0		1887367.0					2019665.0	15940.0				2230.0		23911.0				113687.0			16730542						8220032		84236.0	5749.0				387875.0		595.0	1069.0		14462.0		115304.0	0.0	29323.0						65522.0			9281	2545578			39924.0	24819.0	13865.0	79209.0		238355.0			10818.0	60107.0	7843.0		328994.0	19317.0				5329.0	10200.0				7904.0	77900.0		351.0	108988.0	30687.0	144.0	5064.0		37554.0	376.0			135.0		64314.0	5967.0					13418.0					86789.0	75221.0	192796.0	427380	287760			274819.0	
s01210			8075012.0	154821.0			9130872.0	869348.0			94687.0	10209.0	213749.0	1145920.0	467.0	2300332.0		362.0		11446123.0	290858.0				44613.0	10379102.0	21109434.0		1662165.0		508701					15578.0	9650.0	1293400.0	11681.0	16045.0	10846922.0	6571.0			347237.0			647609.0			15734.0			4531.0	46469		4705058	16872.0	1782071.0	82279.0		1572445.0					1842098.0	13916.0				2050.0		27685.0				105243.0			17849346						7770462		80945.0	48575.0				355382.0		2413.0	884.0		18376.0		117701.0	189.0	22537.0						61445.0			6088	2474672			33401.0	29521.0	12918.0	69306.0		203729.0			12804.0	20813.0	6712.0		301088.0	120527.0				121824.0	10359.0				12755.0	70626.0		566.0	78753.0	18187.0	0.0	41008.0		43575.0	612.0			136.0		73906.0	840.0					8025.0					90756.0	71592.0	198023.0	454549	316881			261764.0	
s01312			8002156.0	153779.0			8395497.0	663306.0			48899.0	10454.0	215087.0	1289100.0	973.0	2540296.0		118.0		10467515.0	218991.0				41215.0	9761592.0	15479165.0		1254467.0		550691					16997.0	31604.0	1286447.0	11006.0	9013.0	11389417.0	20303.0			325564.0			729792.0			15001.0			5771.0	44213		4635778	26334.0	1828890.0	52827.0		1774023.0					1882672.0	12784.0				2165.0		34155.0				106119.0			17424098						7795785		87224.0	7375.0				249896.0		579.0	735.0		16507.0		105339.0	1021.0	25546.0						68453.0			6325	2476734			40780.0	25618.0	12834.0	67384.0		198291.0			7483.0	23948.0	21368.0		307527.0	65943.0				79159.0	11664.0				10927.0	78042.0		930.0	95348.0	23909.0	0.0	52311.0		56376.0	261.0			280.0		31328.0	4393.0					6378.0					98317.0	73527.0	187369.0	472247	298013			256916.0	
