	m_c18n_0000	m_c18n_0001	m_c18n_0003	m_c18n_0006	m_c18n_0008	m_c18n_0009	m_c18n_0010	m_c18n_0011	m_c18n_0013	m_c18n_0016	m_c18n_0017	m_c18n_0018	m_c18n_0019	m_c18n_0020	m_c18n_0021	m_c18n_0022	m_c18n_0023	m_c18n_0024	m_c18n_0025	m_c18n_0026	m_c18n_0027	m_c18n_0028	m_c18n_0029	m_c18n_0030	m_c18n_0031	m_c18n_0035	m_c18n_0037	m_c18n_0039	m_c18n_0041	m_c18n_0042	m_c18n_0043	m_c18n_0048	m_c18n_0049	m_c18n_0050	m_c18n_0051	m_c18n_0052	m_c18n_0053	m_c18n_0054	m_c18n_0055	m_c18n_0056	m_c18n_0058	m_c18n_0059	m_c18n_0060	m_c18n_0061	m_c18n_0062	m_c18n_0063	m_c18n_0064	m_c18n_0065	m_c18n_0066	m_c18n_0067	m_c18n_0068	m_c18n_0071	m_c18n_0072	m_c18n_0073	m_c18n_0074	m_c18n_0077	m_c18n_0080	m_c18n_0082	m_c18n_0084	m_c18n_0086	m_c18n_0087	m_c18n_0088	m_c18n_0093	m_c18n_0094	m_c18n_0097	m_c18n_0098	m_c18n_0099	m_c18n_0100	m_c18n_0101	m_c18n_0103	m_c18n_0104	m_c18n_0105	m_c18n_0107	m_c18n_0108	m_c18n_0109	m_c18n_0110	m_c18n_0112	m_c18n_0113	m_c18n_0114	m_c18n_0116	m_c18n_0117	m_c18n_0122	m_c18n_0127	m_c18n_0128	m_c18n_0129	m_c18n_0130	m_c18n_0132	m_c18n_0133	m_c18n_0135	m_c18n_0136	m_c18n_0139	m_c18n_0140	m_c18n_0141	m_c18n_0145	m_c18n_0148	m_c18n_0150	m_c18n_0152	m_c18n_0158	m_c18n_0159	m_c18n_0160	m_c18n_0161	m_c18n_0162	m_c18n_0164	m_c18n_0166	m_c18n_0167	m_c18n_0168	m_c18n_0171	m_c18n_0172	m_c18n_0175	m_c18n_0176	m_c18n_0177	m_c18n_0179	m_c18n_0181	m_c18n_0182	m_c18n_0189	m_c18n_0196	m_c18n_0198	m_c18n_0200	m_c18n_0205	m_c18n_0206	m_c18n_0213	m_c18n_0214	m_c18n_0215	m_c18n_0218	m_c18n_0219	m_c18n_0221	m_c18n_0224	m_c18n_0226	m_c18n_0231	m_c18n_0233	m_c18n_0234	m_c18n_0237	m_c18n_0238	m_c18n_0242	m_c18n_0248	m_c18n_0250	m_c18n_0251	m_c18n_0256	m_c18n_0258	m_c18n_0259	m_c18n_0262	m_c18n_0263	m_c18n_0265	m_c18n_0266	m_c18n_0267	m_c18n_0271	m_c18n_0273	m_c18n_0275	m_c18n_0278	m_c18n_0280	m_c18n_0282	m_c18n_0283	m_c18n_0284	m_c18n_0285	m_c18n_0286	m_c18n_0288	m_c18n_0291	m_c18n_0292	m_c18n_0294	m_c18n_0297	m_c18n_0298	m_c18n_0302	m_c18n_0303	m_c18n_0307	m_c18n_0309	m_c18n_0312	m_c18n_0313	m_c18n_0316	m_c18n_0317	m_c18n_0321	m_c18n_0323	m_c18n_0325	m_c18n_0328	m_c18n_0329	m_c18n_0330	m_c18n_0335	m_c18n_0337	m_c18n_0338	m_c18n_0340	m_c18n_0345	m_c18n_0347	m_c18n_0348	m_c18n_0351	m_c18n_0356	m_c18n_0357	m_c18n_0358	m_c18n_0360	m_c18n_0361	m_c18n_0362	m_c18n_0365	m_c18n_0366	m_c18n_0367	m_c18n_0373	m_c18n_0381	m_c18n_0382	m_c18n_0383	m_c18n_0385	m_c18n_0388	m_c18n_0390	m_c18n_0392	m_c18n_0398	m_c18n_0399	m_c18n_0400	m_c18n_0401	m_c18n_0402	m_c18n_0404	m_c18n_0413	m_c18n_0414	m_c18n_0415	m_c18n_0416	m_c18n_0418	m_c18n_0419	m_c18n_0420	m_c18n_0421	m_c18n_0422	m_c18n_0425	m_c18n_0428	m_c18n_0433	m_c18n_0435	m_c18n_0436	m_c18n_0438	m_c18n_0439	m_c18n_0440	m_c18n_0445	m_c18n_0449	m_c18n_0451	m_c18n_0452	m_c18n_0453	m_c18n_0455	m_c18n_0458	m_c18n_0466	m_c18n_0467	m_c18n_0469	m_c18n_0475	m_c18n_0476	m_c18n_0477	m_c18n_0479	m_c18n_0480	m_c18n_0482	m_c18n_0485	m_c18n_0486	m_c18n_0492	m_c18n_0493	m_c18n_0501	m_c18n_0502	m_c18n_0506	m_c18n_0517	m_c18n_0519	m_c18n_0521	m_c18n_0523	m_c18n_0524	m_c18n_0527	m_c18n_0528	m_c18n_0530	m_c18n_0543	m_c18n_0547	m_c18n_0551	m_c18n_0553	m_c18n_0556	m_c18n_0557	m_c18n_0558	m_c18n_0559	m_c18n_0560	m_c18n_0561	m_c18n_0562	m_c18n_0563	m_c18n_0564	m_c18n_0565	m_c18n_0566
s01547.15	33703.0	2917.0		416922.0		132766.0		8239.0		138718.0			724155.0			371470.0	186065.0	3876302.0	47520.0	477066.0	6959.0				2539.0	270357.0				345106.0			40178.0	141894.0			22101.0		25694.0					15462.0	16968.0	216747.0	30647.0	73551.0				189636.0	48063.0		14214.0		77934.0		107573.0	9224.0								14982.0								150270.0	114806.0					10877.0			11102.0						1488.0		4926.0					9197.0		6448.0								96351.0					3829.0						91808.0								207035.0	10960.0					1791681									33838.0			20491.0	43192.0			113395.0		14526.0					9398.0											71915.0	22988.0			393.0		22039.0						7431.0						12322				4094721.0	83763.0				73316.0	1436.0			16677.0				61623.0		7172.0												339.0	134171.0	103.0	17095.0	39825.0		40386.0						0.0	9551.0	39883.0			50605.0		21087.0																								36027.0	74280.0	207169	230445	133842	34238	1057160	1369583	3839100	3159258	39056.0
s01524	10842.0	7869.0		95300.0		194284.0		18756.0		42937.0			422721.0			215000.0	7355.0	2762415.0	389540.0	1776685.0	5150.0				1735.0	106911.0				157753.0			6769.0	212863.0			3509.0		20406.0					87980.0	11904.0	142272.0	23926.0	2029.0				114237.0	11908.0		7129.0		16975.0		51417.0	3101.0								5843.0								96768.0	58716.0					5915.0			16435.0						48763.0		461870.0					8617.0		2456.0								9381.0					6104.0						120578.0								157486.0	9622.0					1480405									2679.0			11728.0	33954.0			114018.0		371.0					7165.0											638.0	13119.0			0.0		23238.0						12534.0						766134				7120.0	80317.0				69221.0	16556.0			7917.0				147297.0		357.0												411.0	5834.0	16981.0	14574.0	261373.0		23831.0						2531.0	6995.0	25427.0			10366.0		259.0																								27637.0	69992.0	185059	178895	107636	26603	746356	1100326	2518634	1896501	27241.0
s01535	12837.0	9056.0		140265.0		298972.0		27189.0		60661.0			665204.0			366358.0	12946.0	4168248.0	259199.0	2378484.0	10609.0				1961.0	97158.0				144402.0			9727.0	260602.0			6464.0		25899.0					51951.0	18362.0	96065.0	31277.0	678.0				178742.0	21240.0		3771.0		49336.0		38229.0	4176.0								8707.0								140030.0	72563.0					7044.0			31820.0						100787.0		703038.0					10458.0		3401.0								7882.0					9851.0						139010.0								132950.0	9311.0					1880499									951.0			10177.0	42196.0			141524.0		0.0					7789.0											677.0	15513.0			390.0		24329.0						14905.0						1048011				8088.0	92398.0				86298.0	14508.0			8633.0				199608.0		725.0												241.0	3116.0	18107.0	15892.0	258893.0		7559.0						3965.0	8743.0	27814.0			4728.0		916.0																								38776.0	86491.0	222832	229565	143049	27409	1076956	1369206	2989472	1999065	40518.0
s01547.8	322.0	8743.0		3241.0		185224.0		25308.0		39151.0			422400.0			507076.0	269907.0	5183806.0	55201.0	561037.0	41567.0				2459.0	549.0				593580.0			10418.0	154863.0			3724.0		24694.0					19644.0	22891.0	236710.0	36594.0	52520.0				215804.0	11880.0		751.0		2183.0		68813.0	11385.0								16476.0								179455.0	163863.0					11929.0			11541.0						2397.0		121945.0					11278.0		9888.0								62607.0					1321.0						123415.0								346908.0	25216.0					2249020									11859.0			21792.0	44912.0			102075.0		139.0					9191.0											0.0	19329.0			423.0		42551.0						36319.0						1011488				7355.0	74984.0				74916.0	20103.0			2790.0				95775.0		9420.0												21147.0	59990.0	268.0	1261.0	163628.0		58057.0						2317.0	9165.0	67848.0			59485.0		251.0																								39500.0	86122.0	219343	246544	149125	36936	1109016	1469995	4286408	3778489	42301.0
s01516	14203.0	9403.0		146800.0		353751.0		103793.0		48660.0			683022.0			347084.0	10084.0	4393168.0	481554.0	2210544.0	47043.0				2354.0	133960.0				175307.0			9444.0	233520.0			6579.0		25199.0					99270.0	24602.0	225319.0	36022.0	3194.0				145570.0	15246.0		6627.0		24979.0		21777.0	7981.0								7250.0								73025.0	64930.0					7360.0			17022.0						82233.0		549583.0					9956.0		4728.0								6232.0					10861.0						116066.0								245684.0	7145.0					2223982									471.0			11615.0	42187.0			132081.0		0.0					7983.0											405.0	15582.0			172.0		26141.0						18967.0						943521				11449.0	113621.0				89231.0	22839.0			7550.0				167919.0		1794.0												3541.0	11427.0	23627.0	15238.0	285944.0		32865.0						4914.0	11607.0	28293.0			14414.0		0.0																								35313.0	79919.0	219762	215918	135152	17278	959241	1341265	3257900	2551114	34929.0
s01547.13	14624.0	11795.0		105839.0		395956.0		32333.0		60855.0			662901.0			327846.0	41506.0	4316608.0	178389.0	4036000.0	9445.0				1618.0	124978.0				145477.0			8634.0	112498.0			5013.0		54530.0					39820.0	28346.0	171567.0	26121.0	5200.0				187435.0	16288.0		14774.0		38437.0		73548.0	5930.0								12183.0								128891.0	67792.0					5852.0			21892.0						61915.0		557746.0					11842.0		3215.0								8926.0					4380.0						147047.0								153912.0	3083.0					2321614									1067.0			10159.0	43786.0			169855.0		159.0					6841.0											149.0	16018.0			557.0		22638.0						16488.0						911801				8278.0	107704.0				85015.0	27310.0			9982.0				64187.0		586.0												3135.0	6341.0	12114.0	16266.0	187446.0		26904.0						1540.0	6934.0	28799.0			10869.0		622.0																								38683.0	85228.0	226330	246250	147408	15922	1113360	1469322	2918315	1832436	42988.0
s01512	14456.0	8931.0		162449.0		350291.0		40238.0		64048.0			593072.0			323482.0	52192.0	3953700.0	720606.0	3581479.0	22282.0				1627.0	152599.0				132828.0			5521.0	221014.0			3540.0		22815.0					143463.0	11583.0	116901.0	24219.0	21338.0				125975.0	10722.0		12834.0		32518.0		35333.0	4530.0								2741.0								145742.0	67535.0					6271.0			19800.0						59920.0		630346.0					8423.0		2320.0								21365.0					6755.0						155884.0								80075.0	14182.0					1918241									2591.0			13717.0	45134.0			126813.0		0.0					11748.0											531.0	15145.0			0.0		31061.0						18670.0						1015860				11813.0	103321.0				84034.0	10973.0			10341.0				142572.0		251.0												476.0	2249.0	26491.0	1684.0	249521.0		5810.0						8250.0	13030.0	25367.0			1418.0		701.0																								35898.0	88952.0	223111	209620	139563	40575	954766	1296866	2772064	2095848	32246.0
s01547.14	13990.0	11963.0		128865.0		363407.0		29967.0		67365.0			628507.0			425847.0	43652.0	4237264.0	101214.0	3707873.0	20559.0				1941.0	122901.0				153236.0			6920.0	126024.0			4406.0		29516.0					34736.0	26174.0	174072.0	26719.0	7755.0				180756.0	17386.0		8776.0		40764.0		80025.0	9409.0								11608.0								133415.0	63339.0					7206.0			22525.0						63678.0		566243.0					11186.0		4213.0								9856.0					3270.0						138597.0								150297.0	3459.0					2270359									35.0			13266.0	46028.0			172252.0		0.0					8083.0											591.0	15282.0			346.0		25896.0						21391.0						962521				7896.0	107860.0				83443.0	23784.0			11296.0				66790.0		1067.0												4644.0	6454.0	10178.0	15858.0	183500.0		27574.0						1832.0	8564.0	28057.0			13021.0		441.0																								41155.0	89900.0	237978	242322	155862	22836	1175763	1538836	3024204	1949849	41407.0
s01505	24695.0	3480.0		350132.0		89126.0		5790.0		28719.0			482837.0			248800.0	142276.0	3267813.0	45129.0	414660.0	4678.0				1719.0	285021.0				488180.0			14519.0	124371.0			7584.0		16427.0					11988.0	14806.0	200551.0	16919.0	65136.0				101331.0	15700.0		15443.0		61214.0		91384.0	14461.0								13204.0								121514.0	123486.0					6389.0			4316.0						1374.0		62309.0					7530.0		7127.0								73595.0					313.0						78858.0								242112.0	9377.0					1638254									8814.0			25773.0	32951.0			62453.0		0.0					6180.0											289.0	18571.0			242.0		20651.0						25636.0						777413				1983.0	53887.0				71441.0	13199.0			14188.0				143924.0		8053.0												27814.0	19131.0	428.0	17110.0	154277.0		38377.0						12146.0	9071.0	106002.0			48147.0		0.0																								27079.0	71894.0	175257	190449	107289	37809	801451	1196486	3543450	3029809	29400.0
s01539	24606.0	7443.0		168329.0		447785.0		50904.0		49881.0			621957.0			454029.0	14555.0	5038038.0	499231.0	2727224.0	11170.0				2479.0	132394.0				177964.0			11076.0	320002.0			7969.0		31053.0					70573.0	42148.0	225154.0	47354.0	3350.0				209244.0	26459.0		8432.0		62860.0		64481.0	11921.0								8205.0								118651.0	90436.0					9222.0			27384.0						142108.0		555284.0					12129.0		6116.0								17966.0					8155.0						119818.0								218596.0	8417.0					2586068									967.0			16435.0	47817.0			136477.0		123.0					6161.0											556.0	17491.0			1480.0		24425.0						20226.0						1027332				12152.0	107335.0				94991.0	35497.0			8661.0				128567.0		2771.0												9384.0	6860.0	26143.0	23841.0	224337.0		21359.0						3419.0	9589.0	27795.0			16547.0		0.0																								41967.0	82065.0	235728	247514	148473	11456	1131503	1522023	3750560	2664532	42556.0
s01507	14557.0	3474.0		178171.0		226678.0		29444.0		59513.0			493313.0			238426.0	9334.0	2789921.0	356393.0	2754435.0	16318.0				1361.0	140903.0				159166.0			6566.0	181058.0			3782.0		12523.0					79060.0	14728.0	133625.0	36371.0	939.0				128069.0	13269.0		6945.0		31285.0		63245.0	6421.0								6675.0								100129.0	54186.0					6387.0			16391.0						41518.0		443114.0					8930.0		3690.0								5483.0					10111.0						118581.0								164876.0	7046.0					1709799									2990.0			11967.0	38773.0			122869.0		414.0					6913.0											155.0	12489.0			215.0		23418.0						17807.0						853232				6860.0	70010.0				77452.0	16752.0			8666.0				142381.0		565.0												394.0	2034.0	13603.0	14229.0	293015.0		11741.0						10103.0	5985.0	28960.0			9682.0		245.0																								30473.0	79403.0	209970	202222	122921	37388	916348	1302826	2826983	2031088	43284.0
s01547.5	8878.0	5225.0		157493.0		278723.0		34539.0		54851.0			706341.0			346175.0	8493.0	4019906.0	381304.0	4135058.0	10379.0				1889.0	151409.0				168041.0			8253.0	157627.0			4207.0		27713.0					93213.0	22854.0	136238.0	44765.0	2149.0				211887.0	13912.0		6285.0		68200.0		77328.0	8091.0								6122.0								128442.0	75651.0					7678.0			18148.0						61594.0		537428.0					11237.0		3475.0								6373.0					11455.0						134294.0								179419.0	7777.0					2103333									3822.0			13215.0	43458.0			141021.0		487.0					6584.0											547.0	16567.0			200.0		22963.0						20186.0						962176				10580.0	77164.0				87894.0	19661.0			9739.0				95007.0		144.0												143.0	2480.0	19514.0	17849.0	271290.0		9488.0						3076.0	6011.0	28047.0			13412.0		190.0																								43876.0	88010.0	230590	249773	150484	24478	1112494	1494356	3476940	2767142	41140.0
s01546	12180.0	7894.0		119923.0		399076.0		38578.0		68568.0			718158.0			374065.0	40503.0	4615362.0	321543.0	4316450.0	21999.0				2484.0	120815.0				180965.0			7110.0	170616.0			4414.0		23456.0					80465.0	20085.0	145100.0	23882.0	39852.0				199066.0	14496.0		7432.0		27109.0		64937.0	7284.0								4276.0								126194.0	73749.0					6687.0			22865.0						109184.0		799994.0					10614.0		3174.0								20096.0					5655.0						165219.0								133156.0	12720.0					2133512									0.0			11435.0	45534.0			146328.0		155.0					9802.0											450.0	20035.0			186.0		29031.0						16107.0						1032507				8027.0	100028.0				86660.0	14411.0			10953.0				95793.0		278.0												466.0	4811.0	24754.0	21202.0	213407.0		15309.0						3337.0	9511.0	34007.0			11681.0		395.0																								42213.0	96516.0	241276	242884	151591	33917	1121690	1422704	3145969	1978005	48979.0
s01511	10450.0	6313.0		85483.0		270919.0		20245.0		46984.0			592242.0			364319.0	17703.0	3878298.0	368168.0	1517602.0	7742.0				1561.0	113103.0				147628.0			4958.0	221632.0			3005.0		21086.0					85206.0	13125.0	135058.0	21662.0	2932.0				112996.0	9901.0		6542.0		40638.0		55731.0	11180.0								9319.0								124357.0	75191.0					6866.0			19992.0						83782.0		612856.0					8004.0		3193.0								14264.0					3983.0						141854.0								170498.0	7569.0					1910314									2411.0			11033.0	38778.0			116590.0		0.0					7601.0											357.0	14503.0			210.0		22707.0						14062.0						910642				7216.0	83209.0				77636.0	12314.0			7998.0				565761.0		1674.0												183.0	14694.0	21216.0	12016.0	219865.0		59169.0						7557.0	8435.0	28680.0			5462.0		398.0																								32387.0	84967.0	202997	202680	128533	32177	903398	1269761	2550156	1794898	30916.0
s01509	10781.0	7665.0		112253.0		260395.0		21087.0		34819.0			615111.0			291359.0	20297.0	3632349.0	577431.0	1607121.0	7325.0				1529.0	121205.0				161608.0			5471.0	224795.0			3071.0		21454.0					112390.0	12832.0	131436.0	22761.0	3320.0				113917.0	9301.0		5742.0		37146.0		55285.0	7859.0								9816.0								128322.0	75800.0					4738.0			22760.0						71232.0		615282.0					8441.0		3068.0								15383.0					3891.0						148352.0								184354.0	3140.0					2046460									2769.0			9221.0	40911.0			128120.0		0.0					7375.0											465.0	14217.0			239.0		22463.0						14579.0						925446				7551.0	87398.0				80812.0	14455.0			7840.0				488611.0		886.0												166.0	13583.0	24352.0	13295.0	212712.0		49456.0						8768.0	8760.0	30833.0			5078.0		113.0																								29310.0	83463.0	224663	203280	133386	26591	920294	1316428	2174648	1464020	39393.0
s01518	17684.0	11005.0		166895.0		409660.0		30943.0		55949.0			550814.0			356764.0	18871.0	4386778.0	1282100.0	1524907.0	8007.0				1900.0	121344.0				137474.0			10234.0	218551.0			6890.0		26171.0					217826.0	16921.0	162490.0	20108.0	1819.0				126798.0	14972.0		10228.0		25196.0		26644.0	5075.0								10897.0								134258.0	60571.0					5772.0			15551.0						50058.0		485661.0					8635.0		2603.0								6452.0					3801.0						154246.0								171553.0	7691.0					2363971									2001.0			9393.0	41549.0			131382.0		348.0					6676.0											1166.0	13788.0			727.0		28266.0						16615.0						1116032				15882.0	108081.0				72790.0	19589.0			6382.0				235017.0		1212.0												5985.0	7753.0	34468.0	8410.0	227392.0		13058.0						5117.0	13925.0	25442.0			5781.0		362.0																								29338.0	85375.0	216920	205653	131844	24603	902662	1263141	2749042	2008076	38431.0
s01514	10325.0	8699.0		104451.0		350687.0		37225.0		25145.0			519756.0			298787.0	35879.0	3674544.0	1068111.0	2998677.0	21208.0				1964.0	137090.0				139515.0			5377.0	319117.0			2890.0		21068.0					226457.0	13422.0	116167.0	26075.0	24620.0				122920.0	10029.0		3865.0		33439.0		33875.0	4595.0								2261.0								120546.0	51434.0					3934.0			19896.0						52061.0		567307.0					8177.0		1773.0								15410.0					5648.0						143992.0								85485.0	4206.0					1939101									3620.0			11601.0	44698.0			86565.0		0.0					11449.0											815.0	13755.0			791.0		29323.0						12912.0						989598				11338.0	94602.0				80371.0	11579.0			10014.0				143443.0		463.0												242.0	2593.0	26489.0	2019.0	225847.0		5891.0						6867.0	11481.0	27041.0			3713.0		204.0																								31823.0	89742.0	221260	210985	140285	35082	914207	1222554	2492862	1695205	36084.0
s01543	18388.0	7427.0		172897.0		362397.0		28853.0		69147.0			692131.0			359741.0	8338.0	4288973.0	631432.0	4156919.0	11114.0				2476.0	151814.0				152073.0			18695.0	180470.0			11271.0		31992.0					136887.0	20326.0	121356.0	34770.0	1316.0				221246.0	30772.0		11187.0		74227.0		72750.0	4657.0								9489.0								135277.0	70584.0					7800.0			24807.0						62230.0		797763.0					10540.0		3187.0								8610.0					10183.0						175812.0								154281.0	10018.0					2159443									5810.0			15319.0	62074.0			112728.0		116.0					7681.0											788.0	17182.0			349.0		31047.0						19676.0						1003557				10361.0	105261.0				97613.0	15639.0			10743.0				135086.0		770.0												110.0	2194.0	25348.0	19573.0	269235.0		16257.0						2583.0	9866.0	28708.0			12369.0		384.0																								42571.0	96550.0	243644	244649	148981	25011	1153522	1501553	2778460	1782767	57689.0
s01534	14029.0	8529.0		122922.0		311801.0		27256.0		57958.0			627075.0			326319.0	12115.0	3888392.0	230764.0	2089356.0	10869.0				1924.0	94701.0				146588.0			9827.0	226488.0			6092.0		24046.0					56142.0	18290.0	93571.0	29576.0	1997.0				155175.0	20549.0		4871.0		57428.0		59854.0	4469.0								6672.0								138396.0	66157.0					7516.0			28743.0						95151.0		660803.0					10342.0		3283.0								8822.0					6971.0						147539.0								135769.0	4889.0					1718064									2113.0			12277.0	38018.0			135463.0		0.0					7691.0											619.0	16119.0			226.0		21703.0						16442.0						955192				8204.0	88343.0				82786.0	15659.0			9494.0				186312.0		118.0												155.0	2860.0	19266.0	15193.0	235520.0		7781.0						2309.0	9307.0	28220.0			5703.0		1311.0																								33927.0	81572.0	203760	233847	138744	26249	959501	1289170	2666533	1655127	44909.0
s01529	13810.0	6073.0		111395.0		299148.0		18727.0		55516.0			724315.0			449946.0	30301.0	4610731.0	0.0	2777626.0	8652.0				1976.0	115258.0				150730.0			4842.0	247473.0			4237.0		24999.0					53096.0	20283.0	168435.0	25310.0	1144.0				195077.0	10590.0		7046.0		47541.0		48570.0	7611.0								8677.0								137348.0	88930.0					6723.0			30856.0						107463.0		779364.0					10253.0		4012.0								8509.0					3559.0						177338.0								177868.0	14255.0					2170971									832.0			12084.0	44753.0			147515.0		0.0					7149.0											429.0	17412.0			0.0		25053.0						16210.0						978380				6089.0	83646.0				89502.0	18925.0			11990.0				298959.0		632.0												223.0	10349.0	16876.0	14268.0	214308.0		29036.0						3632.0	11618.0	29007.0			13832.0		0.0																								39689.0	85182.0	224497	247326	144577	19577	1017510	1382268	2648552	1861101	46104.0
s01547.9	12896.0	11390.0		112251.0		349461.0		27481.0		49178.0			604652.0			342242.0	43244.0	4375428.0	156094.0	3654456.0	19070.0				1504.0	127370.0				151144.0			7882.0	129903.0			5753.0		23282.0					36667.0	15591.0	146794.0	23245.0	8142.0				182627.0	16227.0		13382.0		34548.0		71316.0	6202.0								10873.0								123356.0	65628.0					6009.0			23325.0						57164.0		577422.0					9769.0		2582.0								5323.0					4301.0						145878.0								123707.0	9028.0					2088930									0.0			11233.0	42969.0			143212.0		0.0					8849.0											650.0	14777.0			0.0		32111.0						16800.0						936275				11520.0	99829.0				88972.0	13493.0			10712.0				71087.0		801.0												3029.0	4752.0	9596.0	14584.0	253703.0		27069.0						1501.0	7420.0	24537.0			21818.0		691.0																								39246.0	87941.0	220564	219610	138488	30136	1073640	1397265	3573548	2785289	41324.0
s01547.10	16842.0	12671.0		128234.0		353348.0		32738.0		62847.0			638399.0			415501.0	47332.0	4743238.0	107203.0	4316018.0	10042.0				2185.0	130892.0				149807.0			8278.0	136947.0			4453.0		33607.0					38103.0	19064.0	166527.0	27208.0	4413.0				237056.0	18389.0		12276.0		58223.0		74975.0	15730.0								11341.0								134332.0	67501.0					6949.0			22818.0						67624.0		627834.0					11004.0		3922.0								10217.0					5285.0						149099.0								142985.0	9454.0					2251679									890.0			11390.0	47230.0			154330.0		0.0					9527.0											745.0	17685.0			456.0		32538.0						18767.0						1001970				10790.0	106272.0				93785.0	13025.0			10700.0				64776.0		665.0												2701.0	6515.0	9121.0	17666.0	228435.0		28560.0						1253.0	8327.0	27486.0			13396.0		925.0																								43123.0	95704.0	231780	235649	147545	32616	1022962	1325131	3179908	2404577	47969.0
s01544	14123.0	7479.0		169554.0		318447.0		28237.0		43315.0			596980.0			348739.0	8026.0	4121411.0	518349.0	4003009.0	21547.0				1967.0	145831.0				168462.0			15751.0	183901.0			9777.0		28505.0					124211.0	21554.0	112409.0	32953.0	1035.0				203847.0	28528.0		11957.0		43455.0		74081.0	5212.0								12659.0								131604.0	69543.0					8385.0			22184.0						58711.0		730806.0					11110.0		3558.0								4192.0					10270.0						166238.0								139133.0	10449.0					2027910									3289.0			12636.0	57783.0			159811.0		120.0					8393.0											1176.0	18471.0			652.0		31623.0						16119.0						978989				9713.0	102026.0				94355.0	15099.0			10012.0				133664.0		284.0												127.0	2293.0	20938.0	16514.0	256114.0		14775.0						1349.0	8664.0	28492.0			11598.0		401.0																								40640.0	89729.0	245476	249054	150459	30744	1096584	1471910	3186646	2163436	49916.0
s01510	10156.0	7067.0		84275.0		296898.0		20779.0		46495.0			549569.0			333055.0	22908.0	3771934.0	247718.0	1484976.0	8460.0				1863.0	103078.0				154818.0			4551.0	215360.0			2512.0		20322.0					54381.0	12239.0	125603.0	23171.0	2416.0				110960.0	10719.0		12446.0		45416.0		55949.0	8147.0								10306.0								133501.0	69993.0					5618.0			21299.0						94325.0		601006.0					7562.0		3774.0								13628.0					4215.0						157145.0								172482.0	8223.0					1884928									0.0			11569.0	36649.0			124266.0		0.0					7677.0											440.0	12721.0			136.0		20818.0						13237.0						892372				6485.0	84497.0				79753.0	14400.0			8049.0				556225.0		1303.0												154.0	14982.0	16701.0	10978.0	237256.0		56212.0						8174.0	8636.0	30572.0			5536.0		291.0																								31006.0	80872.0	203701	205895	129514	32342	937901	1314594	2446304	1551395	32302.0
s01541	24921.0	9439.0		201437.0		420421.0		57150.0		64665.0			770105.0			490489.0	16877.0	4890856.0	564806.0	3109580.0	11027.0				2880.0	139017.0				174061.0			12603.0	270640.0			8933.0		30340.0					103744.0	30004.0	234810.0	42790.0	3454.0				194762.0	26955.0		21139.0		29754.0		65934.0	14575.0								8048.0								115340.0	89810.0					9178.0			23862.0						136478.0		560515.0					11497.0		5985.0								17399.0					10951.0						133108.0								213109.0	7198.0					2526960									848.0			12838.0	47113.0			137218.0		246.0					6897.0											948.0	15764.0			1110.0		28586.0						23101.0						1062976				14213.0	107546.0				91160.0	25875.0			10448.0				122136.0		2905.0												11400.0	6618.0	35941.0	21498.0	284120.0		21894.0						2806.0	9559.0	27923.0			10900.0		295.0																								37382.0	89365.0	229933	245835	152409	21756	1141255	1526250	3870836	2995555	53314.0
s01863	25521.0	14338.0		673237.0	9537.0	309273.0		55143.0		125126.0			1192424.0		1093.0	556757.0	119795.0	10444103.0	19592.0	1013916.0	23469.0				44406.0	390523.0			5828.0	575021.0			3871.0	223438.0			27861.0		36670.0		5607.0			8513.0	19141.0	268833.0	350701.0	96965.0					66067.0		24751.0		142442.0	9257.0	108263.0	14387.0								34372.0								156446.0	227455.0					23843.0			16591.0				27700.0				248334.0			17969.0		16318.0										114655.0							39928.0				200470.0								369727.0	15223.0					3548321									4316.0			47746.0	120056.0			114760.0	2039.0		6524.0				35785.0			12212.0							11260.0		40160.0		5026.0	175958.0		107828.0						46408.0					2761.0	1520755				265727.0	213841.0	1552.0			238712.0	6606.0			21829.0				1107150.0		14433.0			13802884.0	24980.0								11488.0	23211.0		33864.0	746983.0		23127.0							11111.0	109896.0	391.0	1031.0	146337.0		5052.0									1786.0															79351.0	159824.0	431895	368360	263996	64319	1679482	2142962	5650524	5993130	58336.0
s01874	47723.0	10578.0		971415.0	10297.0	6107.0		598822.0		5824.0			1107740.0		7325.0	1437678.0	440313.0	117076.0	132272.0	696782.0	110361.0				163486.0	721616.0			61791.0	454869.0			6590.0	292764.0			34861.0		37367.0		8081.0			46861.0	19282.0	404888.0	5899753.0	10425.0					72960.0		31097.0		152892.0	283.0	4479.0	27082.0								250909.0								15338.0	235819.0					22669.0			12631.0				19795.0				8812.0			16074.0		16191.0										11937.0							52879.0				255624.0								451574.0	11282.0					23527									29809.0			48031.0	68162.0			157019.0	7131.0		5885.0				33483.0			14991.0							3324.0		26553.0		36337.0	424508.0		55827.0						68260.0					2143.0	1032821				3780164.0	111158.0	14544.0			94500.0	7857.0			14282.0				487991.0		809.0			13655258.0	29886.0								18093.0	26779.0		255.0	1817149.0		8944.0							13730.0	59766.0	2279.0	1889.0	183119.0		2063.0									2326.0															90933.0	177059.0	493019	363524	310794	67852	1729546	2196358	6623181	6693867	57383.0
